league_name,league_id,season_start,season_end,active
Spanish LaLiga,,2025-08-01,2026-05-31,TRUE
English Premier League,,2025-08-01,2026-05-31,TRUE
German Bundesliga,,2025-08-01,2026-05-31,TRUE
French Ligue 1,,2025-08-01,2026-05-31,TRUE
Italian Serie A,,2025-08-01,2026-05-31,TRUE
Turkish Super Lig,,2025-08-01,2026-05-31,TRUE
Portuguese Primeira Liga,,2025-08-01,2026-05-31,TRUE
Saudi Pro League,,2025-08-01,2026-05-31,TRUE
Brazilian Serie A,,2025-01-01,2025-12-31,TRUE
Belgian Pro League,,2025-07-01,2026-05-31,TRUE
English Championship,,2025-08-01,2026-05-31,TRUE
Dutch Eredivisie,,2025-08-01,2026-05-31,TRUE
Ukrainian Premier Liga,,2025-08-01,2026-05-31,TRUE
Spanish LaLiga 2,,2025-08-01,2026-05-31,TRUE
Greek Super League 1,,2025-08-01,2026-05-31,TRUE
Danish Superligaen,,2025-07-01,2026-05-31,TRUE
German 2. Bundesliga,,2025-08-01,2026-05-31,TRUE
Scottish Premiership,,2025-08-01,2026-05-31,TRUE
Austrian Bundesliga,,2025-07-01,2026-05-31,TRUE
French Ligue 2,,2025-08-01,2026-05-31,TRUE
Argentine Primera Division,,2025-01-01,2025-12-31,TRUE
Swiss Super League,,2025-07-01,2026-05-31,TRUE
Serbian Super Liga,,2025-07-01,2026-05-31,TRUE
Croatian 1.HNL,,2025-07-01,2026-05-31,TRUE
Czech First League,,2025-07-01,2026-05-31,TRUE
Norwegian Eliteserien,,2025-03-01,2025-12-31,TRUE
Italian Serie B,,2025-08-01,2026-05-31,TRUE
Romanian Liga 1,,2025-07-01,2026-05-31,TRUE
Polish Ekstraklasa,,2025-07-01,2026-05-31,TRUE
Swedish Allsvenskan,,2025-03-01,2025-11-30,TRUE
English League One,,2025-08-01,2026-05-31,TRUE
Brazilian Serie B,,2025-01-01,2025-12-31,TRUE
Bulgarian Parva Liga,,2025-07-01,2026-05-31,TRUE
Hungarian Nemzeti Bajnoksag,,2025-07-01,2026-05-31,TRUE
Turkish 1.Lig,,2025-08-01,2026-05-31,TRUE
Belgian Challenger Pro League,,2025-08-01,2026-05-31,TRUE
