"x"
"Spanish LaLiga"
"English Premier League"
"German Bundesliga"
"French Ligue 1"
"Italian Serie A"
"Turkish Super Lig"
"Portuguese Primeira Liga"
"Saudi Pro League"
"Brazilian Serie A"
"Belgian Pro League"
"English Championship"
"Dutch Eredivisie"
"Ukrainian Premier Liga"
"Spanish LaLiga 2"
"Greek Super League 1"
"Danish Superligaen"
"German 2. Bundesliga"
"Scottish Premiership"
"Austrian Bundesliga"
"French Ligue 2"
"Argentine Primera Division"
"Swiss Super League"
"Serbian Super Liga"
"Croatian 1.HNL"
"Czech First League"
"Norwegian Eliteserien"
"Italian Serie B"
"Romanian Liga 1"
"Polish Ekstraklasa"
"Swedish Allsvenskan"
"English League One"
"Brazilian Serie B"
"Bulgarian Parva Liga"
"Hungarian Nemzeti Bajnoksag"
"Turkish 1.Lig"
"Belgian Challenger Pro League"
