sample_name,minutes_bin,n_rows,n_players,mean,median,variance,sd
match_level_all_comps,1:15,8887,4126,6.253572634184764,6.2,0.13829665415987324,0.3718825811460833
match_level_all_comps,16:30,21246,5489,6.380688129530265,6.3,0.22341380746275677,0.4726666980682654
match_level_all_comps,31:45,15163,5533,6.470335685550353,6.4,0.3364158416673624,0.5800136564490205
match_level_all_comps,46:60,6089,3532,6.596715388405321,6.5,0.431605503904091,0.656966897114376
match_level_all_comps,61:75,22200,5554,6.809130630630631,6.7,0.5332591207338696,0.7302459316790951
match_level_all_comps,76:90,105800,6873,7.09140359168242,7.1,0.6865691695255641,0.8285946955692899
match_level_all_comps,90+,785,691,7.408407643312102,7.5,0.6476333030027297,0.8047566731644601
match_level_source_league,1:15,6375,3302,6.252705882352942,6.2,0.1400738662581443,0.3742644336002879
match_level_source_league,16:30,15117,4700,6.373447112522326,6.3,0.21633511980460846,0.4651183933200325
match_level_source_league,31:45,10312,4599,6.445190069821567,6.4,0.3214587748485258,0.5669733458007755
match_level_source_league,46:60,4364,2756,6.571998166819432,6.5,0.41071697822263,0.6408720451249453
match_level_source_league,61:75,15775,4774,6.782586370839937,6.7,0.50963398478951,0.7138865349546173
match_level_source_league,76:90,79991,6106,7.081612931454789,7.1,0.6685205188096474,0.8176310407571665
match_level_source_league,90+,27,27,7.4037037037037035,7.5,0.38344729344729334,0.6192312116223578
