sample_name,rating_variable,Month,n_rows,n_players,mean,median,sd
all_comps_strict,fotmob_mean_rating,2022-07-01,411,411,6.935197080291971,6.905,0.6742704324513832
all_comps_strict,fotmob_mean_rating,2022-08-01,1953,1953,6.875048655304416,6.87,0.5511654357338254
all_comps_strict,fotmob_mean_rating,2022-09-01,2004,2004,6.857399783765802,6.86,0.5917720900928091
all_comps_strict,fotmob_mean_rating,2022-10-01,2177,2177,6.841060218299538,6.84,0.5010587802346018
all_comps_strict,fotmob_mean_rating,2022-11-01,1902,1902,6.878484928145811,6.85,0.6255308847803611
all_comps_strict,fotmob_mean_rating,2022-12-01,1155,1155,6.90998556998557,6.9,0.6757808349884987
all_comps_strict,fotmob_mean_rating,2023-01-01,2034,2034,6.882335709603408,6.9,0.568244661678757
all_comps_strict,fotmob_mean_rating,2023-02-01,2167,2167,6.914272309754543,6.9,0.5457431699842195
all_comps_strict,fotmob_mean_rating,2023-03-01,2087,2087,6.9080945535856895,6.9,0.5827213314313139
all_comps_strict,fotmob_mean_rating,2023-04-01,2473,2473,6.893206347601717,6.89714285714286,0.5252352403181705
all_comps_strict,fotmob_mean_rating,2023-05-01,2359,2359,6.886979289044995,6.8975,0.5713129571797728
all_comps_strict,fotmob_mean_rating,2023-06-01,1031,1031,6.912107015842224,6.89,0.6948042485250228
all_comps_strict,fotmob_mean_rating,2023-07-01,658,658,6.974058583007671,6.9625,0.6475409067927632
all_comps_strict,fotmob_mean_rating,2023-08-01,2624,2624,6.899655360772358,6.875,0.6138496618186212
all_comps_strict,fotmob_mean_rating,2023-09-01,3086,3086,6.852323125945128,6.8412500000000005,0.5566627053323018
all_comps_strict,fotmob_mean_rating,2023-10-01,3064,3064,6.880576697127937,6.86666666666667,0.5788341671529487
all_comps_strict,fotmob_mean_rating,2023-11-01,2964,2964,6.878055410963306,6.86666666666667,0.580270069195685
all_comps_strict,fotmob_mean_rating,2023-12-01,3035,3035,6.8692953400800185,6.85,0.5525039249850499
all_comps_strict,fotmob_mean_rating,2024-01-01,2494,2494,6.857974472066292,6.85,0.5993579926177054
all_comps_strict,fotmob_mean_rating,2024-02-01,2928,2928,6.843900996942493,6.84,0.5540246487881221
all_comps_strict,fotmob_mean_rating,2024-03-01,2906,2906,6.847310310359519,6.83333333333333,0.5427982631473595
all_comps_strict,fotmob_mean_rating,2024-04-01,3277,3277,6.827955483383466,6.8,0.5325824227757914
all_comps_strict,fotmob_mean_rating,2024-05-01,3173,3173,6.826361487551213,6.8,0.6157720103058069
all_comps_strict,fotmob_mean_rating,2024-06-01,547,547,6.846109515104031,6.8,0.5767266825929768
all_comps_strict,fotmob_mean_rating,2024-07-01,803,803,6.842176807211054,6.8,0.5893251955111678
all_comps_strict,fotmob_mean_rating,2024-08-01,3219,3219,6.83220617168893,6.8,0.5672228308001819
all_comps_strict,fotmob_mean_rating,2024-09-01,3718,3718,6.799056904633828,6.8,0.5539617158287544
all_comps_strict,fotmob_mean_rating,2024-10-01,3740,3740,6.826401515151515,6.8,0.5810201249193377
all_comps_strict,fotmob_mean_rating,2024-11-01,3783,3783,6.823026698387523,6.8,0.5469470040939617
all_comps_strict,fotmob_mean_rating,2024-12-01,3622,3622,6.826344593883936,6.8,0.5839765742655298
all_comps_strict,fotmob_mean_rating,2025-01-01,3218,3218,6.833442244517446,6.82,0.5886683074191568
all_comps_strict,fotmob_mean_rating,2025-02-01,3566,3566,6.817867358384745,6.8,0.5554416035763529
all_comps_strict,fotmob_mean_rating,2025-03-01,3601,3601,6.630553087105434,6.7,1.0678414445251143
all_comps_strict,fotmob_mean_rating,2025-04-01,4156,4156,5.99273579410911,6.575,1.6356440748503884
all_comps_strict,fotmob_mean_rating,2025-05-01,4041,4041,6.035489015370233,6.56666666666667,1.6248375502589563
all_comps_strict,fotmob_mean_rating,2025-06-01,554,554,6.249487278665979,6.6,1.520446103184034
all_comps_strict,fotmob_mean_rating,2025-07-01,1527,1527,5.775160835126454,6.4,1.8148131603063158
all_comps_strict,fotmob_mean_rating,2025-08-01,4052,4052,5.48828449136692,6.14285714285714,1.826853345981505
all_comps_strict,fotmob_mean_rating,2025-09-01,4405,4405,5.481027214745149,6.15,1.7997499845500549
all_comps_strict,fotmob_mean_rating,2025-10-01,4611,4611,5.427767209536891,6.03333333333333,1.8277515842849241
all_comps_strict,fotmob_mean_rating,2025-11-01,4485,4485,5.506225619790837,6.18333333333333,1.8359112725140259
all_comps_strict,fotmob_mean_rating,2025-12-01,4242,4242,5.555534105281277,6.225,1.82168328097012
all_comps_strict,fotmob_mean_rating,2026-01-01,4279,4279,5.718750830004043,6.4,1.7952901865683617
all_comps_strict,fotmob_mean_rating,2026-02-01,4650,4650,5.720269201228879,6.45,1.7990210036031933
all_comps_strict,fotmob_mean_rating,2026-03-01,4601,4601,5.844237907218238,6.5,1.7393983394349237
all_comps_strict,fotmob_mean_rating,2026-04-01,4676,4676,6.799184691840808,6.8,0.5466275308337593
all_comps_strict,fotmob_mean_rating,2026-05-01,4491,4491,6.803167817115713,6.775,0.5834141272439055
all_comps_strict,fotmob_mean_rating,2026-06-01,79,79,6.800738396624473,6.8,0.5611124701791599
all_comps_strict,fotmob_minutes_weighted_rating,2022-07-01,411,411,6.949245677315627,6.90374100719424,0.6774911290367679
all_comps_strict,fotmob_minutes_weighted_rating,2022-08-01,1953,1953,6.9142462103428715,6.92914798206278,0.5643338956711343
all_comps_strict,fotmob_minutes_weighted_rating,2022-09-01,2004,2004,6.889997451591603,6.910221238938055,0.6061497257396445
all_comps_strict,fotmob_minutes_weighted_rating,2022-10-01,2177,2177,6.895227151939042,6.9,0.5224087203536034
all_comps_strict,fotmob_minutes_weighted_rating,2022-11-01,1902,1902,6.908192881806121,6.9,0.6374672715904546
all_comps_strict,fotmob_minutes_weighted_rating,2022-12-01,1155,1155,6.926758236296667,6.9,0.6855104856439697
all_comps_strict,fotmob_minutes_weighted_rating,2023-01-01,2033,2033,6.924345723996492,6.96666666666667,0.5833889078256373
all_comps_strict,fotmob_minutes_weighted_rating,2023-02-01,2167,2167,6.958496000518321,6.96666666666667,0.563002660107998
all_comps_strict,fotmob_minutes_weighted_rating,2023-03-01,2087,2087,6.940589591689329,6.95,0.5917036041853431
all_comps_strict,fotmob_minutes_weighted_rating,2023-04-01,2472,2472,6.949051685742459,6.965727272727269,0.5439149466537619
all_comps_strict,fotmob_minutes_weighted_rating,2023-05-01,2358,2358,6.933264082300701,6.955,0.5886671338713161
all_comps_strict,fotmob_minutes_weighted_rating,2023-06-01,1031,1031,6.92336942276025,6.9,0.6986887180155529
all_comps_strict,fotmob_minutes_weighted_rating,2023-07-01,658,658,7.003604820691859,7.01556059746644,0.6549872988972969
all_comps_strict,fotmob_minutes_weighted_rating,2023-08-01,2623,2623,6.9283729233518985,6.91761363636364,0.6256401069151785
all_comps_strict,fotmob_minutes_weighted_rating,2023-09-01,3086,3086,6.89831019638423,6.906679790026249,0.5774945021104453
all_comps_strict,fotmob_minutes_weighted_rating,2023-10-01,3064,3064,6.9181397872038,6.921785916713899,0.5953697764830125
all_comps_strict,fotmob_minutes_weighted_rating,2023-11-01,2964,2964,6.912683745650976,6.9,0.5961842742072159
all_comps_strict,fotmob_minutes_weighted_rating,2023-12-01,3035,3035,6.913569116417081,6.91666666666667,0.566271039615461
all_comps_strict,fotmob_minutes_weighted_rating,2024-01-01,2494,2494,6.891263616177874,6.9,0.6117328227419787
all_comps_strict,fotmob_minutes_weighted_rating,2024-02-01,2928,2928,6.8876799406761995,6.9,0.5730484601289796
all_comps_strict,fotmob_minutes_weighted_rating,2024-03-01,2906,2906,6.8863375899679475,6.89872741555381,0.5577715551165898
all_comps_strict,fotmob_minutes_weighted_rating,2024-04-01,3277,3277,6.872070580375055,6.86095238095238,0.5508866434922269
all_comps_strict,fotmob_minutes_weighted_rating,2024-05-01,3173,3173,6.863587272051058,6.86,0.6374709513047405
all_comps_strict,fotmob_minutes_weighted_rating,2024-06-01,547,547,6.883140157114306,6.89787234042553,0.582654013333527
all_comps_strict,fotmob_minutes_weighted_rating,2024-07-01,803,803,6.875026779989807,6.867258382643,0.6011101015656813
all_comps_strict,fotmob_minutes_weighted_rating,2024-08-01,3219,3219,6.865088989601792,6.86404494382022,0.5817072518048024
all_comps_strict,fotmob_minutes_weighted_rating,2024-09-01,3718,3718,6.839315810980354,6.85,0.5753653515693552
all_comps_strict,fotmob_minutes_weighted_rating,2024-10-01,3740,3740,6.866928269368939,6.86666666666667,0.6007851306486206
all_comps_strict,fotmob_minutes_weighted_rating,2024-11-01,3783,3783,6.8623149555438525,6.844140625,0.5667721623880374
all_comps_strict,fotmob_minutes_weighted_rating,2024-12-01,3622,3622,6.866720996847741,6.87054591620821,0.6011161012646481
all_comps_strict,fotmob_minutes_weighted_rating,2025-01-01,3218,3218,6.873835655063457,6.880947580645159,0.60480010874556
all_comps_strict,fotmob_minutes_weighted_rating,2025-02-01,3566,3566,6.861753068461239,6.86666666666667,0.5751824980055995
all_comps_strict,fotmob_minutes_weighted_rating,2025-03-01,3601,3601,6.778347042264088,6.8,0.8956560721772008
all_comps_strict,fotmob_minutes_weighted_rating,2025-04-01,4156,4156,6.709910226638678,6.8,0.7984516961411067
all_comps_strict,fotmob_minutes_weighted_rating,2025-05-01,4041,4041,6.74828840832832,6.80265486725664,0.8242687413709632
all_comps_strict,fotmob_minutes_weighted_rating,2025-06-01,554,554,6.742177517766699,6.8,0.9269945913599336
all_comps_strict,fotmob_minutes_weighted_rating,2025-07-01,1527,1527,6.264339187435932,6.5921875,1.4404577251454185
all_comps_strict,fotmob_minutes_weighted_rating,2025-08-01,4052,4052,6.308020334271226,6.6,1.2501720591040344
all_comps_strict,fotmob_minutes_weighted_rating,2025-09-01,4405,4405,6.478527736404657,6.74448398576513,1.1660592806796972
all_comps_strict,fotmob_minutes_weighted_rating,2025-10-01,4611,4611,6.505638957200909,6.771,1.181404289372912
all_comps_strict,fotmob_minutes_weighted_rating,2025-11-01,4485,4485,6.5255177544972724,6.75120481927711,1.0690690584169835
all_comps_strict,fotmob_minutes_weighted_rating,2025-12-01,4242,4242,6.5846085199828694,6.7732190292199945,1.0811748959304623
all_comps_strict,fotmob_minutes_weighted_rating,2026-01-01,4279,4279,6.69378484914903,6.8,0.8461384695129361
all_comps_strict,fotmob_minutes_weighted_rating,2026-02-01,4650,4650,6.683257824398509,6.8,0.836273974241019
all_comps_strict,fotmob_minutes_weighted_rating,2026-03-01,4601,4601,6.665680743503156,6.8,0.9088474841528875
all_comps_strict,fotmob_minutes_weighted_rating,2026-04-01,4676,4676,6.843016203904116,6.836259920634925,0.5697669066407567
all_comps_strict,fotmob_minutes_weighted_rating,2026-05-01,4491,4491,6.840943071407476,6.825,0.6041136996786866
all_comps_strict,fotmob_minutes_weighted_rating,2026-06-01,79,79,6.822781957093929,6.80487106017192,0.5756628322552381
source_league_strict,fotmob_mean_rating,2022-07-01,411,411,6.935197080291971,6.905,0.6742704324513832
