sample_name,rating_variable,fotmob_source_league,n_rows,n_players,mean,median,sd
all_comps_strict,fotmob_mean_rating,English Championship,12490,879,6.46328038176573,6.725,1.2072303633898036
all_comps_strict,fotmob_mean_rating,English Premier League,11859,751,6.389430004269746,6.7,1.316795617134018
all_comps_strict,fotmob_mean_rating,Italian Serie A,11632,758,6.3775296991332064,6.65,1.2322686653290427
all_comps_strict,fotmob_mean_rating,French Ligue 1,9178,660,6.494917939551792,6.76666666666667,1.2412547339839677
all_comps_strict,fotmob_mean_rating,German Bundesliga,8874,617,6.519877218448043,6.73333333333333,1.171867261182694
all_comps_strict,fotmob_mean_rating,Dutch Eredivisie,7954,540,6.489446515516166,6.76666666666667,1.2877892284880512
all_comps_strict,fotmob_mean_rating,Spanish LaLiga,7934,503,6.376291492111507,6.66666666666667,1.2737197744478765
all_comps_strict,fotmob_mean_rating,Brazilian Serie A,6867,547,6.482871298434427,6.75,1.214085704998822
all_comps_strict,fotmob_mean_rating,Turkish Super Lig,6348,503,6.395679625378822,6.7,1.2818912295020615
all_comps_strict,fotmob_mean_rating,Belgian Pro League,6247,470,6.869409743343471,6.86666666666667,0.5827944280932089
all_comps_strict,fotmob_mean_rating,Portuguese Primeira Liga,4993,391,6.367422535994837,6.7,1.3513304014010235
all_comps_strict,fotmob_mean_rating,Italian Serie B,3806,358,6.426906288316693,6.72,1.2564435121471567
all_comps_strict,fotmob_mean_rating,Saudi Pro League,3679,304,6.472340967826834,6.8,1.4553674424284517
all_comps_strict,fotmob_mean_rating,German 2. Bundesliga,3507,364,6.491874686002145,6.8,1.2807282784100515
all_comps_strict,fotmob_mean_rating,Swiss Super League,3262,291,6.3543145625918465,6.7125,1.3744269587073135
all_comps_strict,fotmob_mean_rating,Spanish LaLiga 2,3158,285,6.3109263623752225,6.7,1.3692021516238566
all_comps_strict,fotmob_mean_rating,English League One,2696,339,6.495414006935613,6.76,1.2039667544280503
all_comps_strict,fotmob_mean_rating,Argentine Primera Division,2649,275,6.83774745186863,6.8,0.557497858789495
all_comps_strict,fotmob_mean_rating,Danish Superligaen,2085,196,6.903135571542766,6.9,0.5968146140974049
all_comps_strict,fotmob_mean_rating,French Ligue 2,2048,251,6.58413818359375,6.8,1.1712920706658385
all_comps_strict,fotmob_minutes_weighted_rating,English Championship,12490,879,6.795060032643823,6.839331501831505,0.6461949032197937
all_comps_strict,fotmob_minutes_weighted_rating,English Premier League,11859,751,6.780287556178227,6.85035019455253,0.7937829175565905
all_comps_strict,fotmob_minutes_weighted_rating,Italian Serie A,11632,758,6.752187449529646,6.784683058876605,0.6662572519593017
all_comps_strict,fotmob_minutes_weighted_rating,French Ligue 1,9178,660,6.830674662540846,6.891829241154214,0.7445797727247986
all_comps_strict,fotmob_minutes_weighted_rating,German Bundesliga,8874,617,6.811924277051342,6.85567590760232,0.768544343535908
all_comps_strict,fotmob_minutes_weighted_rating,Dutch Eredivisie,7954,540,6.842406301044757,6.883310613437195,0.7190083039246585
all_comps_strict,fotmob_minutes_weighted_rating,Spanish LaLiga,7932,503,6.7845397844713915,6.80942902301689,0.7041233840209312
all_comps_strict,fotmob_minutes_weighted_rating,Brazilian Serie A,6866,547,6.821882671970997,6.85435574578211,0.6457607639286427
all_comps_strict,fotmob_minutes_weighted_rating,Turkish Super Lig,6348,503,6.655323124048737,6.8,0.9892714310833022
all_comps_strict,fotmob_minutes_weighted_rating,Belgian Pro League,6247,470,6.905047591100385,6.91,0.5968451461521281
all_comps_strict,fotmob_minutes_weighted_rating,Portuguese Primeira Liga,4992,391,6.69271853673515,6.802825870646769,0.940299390247676
all_comps_strict,fotmob_minutes_weighted_rating,Italian Serie B,3806,358,6.79980345185853,6.836931818181821,0.6270965315356133
all_comps_strict,fotmob_minutes_weighted_rating,Saudi Pro League,3679,304,6.884500315141656,6.93333333333333,0.8020805650314549
all_comps_strict,fotmob_minutes_weighted_rating,German 2. Bundesliga,3507,364,6.820977930414071,6.88928571428571,0.761124744055203
all_comps_strict,fotmob_minutes_weighted_rating,Swiss Super League,3262,291,6.7055174117185325,6.829584622182945,0.8986773423182911
all_comps_strict,fotmob_minutes_weighted_rating,Spanish LaLiga 2,3158,285,6.780614735038081,6.8237311639086595,0.652184990040012
all_comps_strict,fotmob_minutes_weighted_rating,English League One,2696,339,6.817277460784781,6.9,0.7629082756982987
all_comps_strict,fotmob_minutes_weighted_rating,Argentine Primera Division,2649,275,6.872244410031877,6.875,0.570703170047212
all_comps_strict,fotmob_minutes_weighted_rating,Danish Superligaen,2085,196,6.939748048074647,6.93333333333333,0.6063620251646896
all_comps_strict,fotmob_minutes_weighted_rating,French Ligue 2,2048,251,6.887638365111631,6.90247228049146,0.6863416813912824
source_league_strict,fotmob_mean_rating,English Championship,12032,865,6.549402428840552,6.75,1.0960005169611788
