tenure_bin,share_played,mean_minutes,n
0,0.887321883749112,194.15070410763306,47862
0.25,0.7668274345698276,176.40822044116445,28198
0.5,0.8047053077173559,188.3907521979835,24568
0.75,0.7268667381207574,158.88692390139482,11196
1,0.7937833151371139,196.3152013358146,15571
1.25,0.7873731679819617,201.5243893273227,13305
1.5,0.7955140513178566,191.29507767498384,11458
1.75,0.742846094354215,161.60730858468648,5172
2,0.7862244897959184,187.56173469387815,7840
2.25,0.8045763760049475,205.24938157081104,6468
2.5,0.7986045634546484,184.1174806713183,5303
2.75,0.7430039977155911,151.41976013706463,1751
3,0.8569744597249509,210.96856581532433,2545
3.25,0.8601061263868789,236.69705740472736,2073
3.5,0.9286649214659686,200.28861256544508,1528
