variable,value,n_non_bosman,n_bosman,share_non_bosman,share_bosman,chi_square_p_value
GenPosition,Attack,54119,5540,0.2759666916530262,0.2383718428639043,1.1531025037972849e-71
GenPosition,Goalkeeper,20258,3124,0.10330074908085891,0.1344176240265049,1.1531025037972849e-71
GenPosition,Defense,63256,7945,0.3225586032115121,0.34185276020825267,1.1531025037972849e-71
GenPosition,Midfield,58474,6632,0.29817395605460284,0.2853577729013381,1.1531025037972849e-71
PreferredFoot,left,48237,5559,0.26306116661576723,0.25740877940359325,0.1951655269595472
PreferredFoot,right,127838,15163,0.6971663539985167,0.7021207631042786,0.1951655269595472
PreferredFoot,both,7293,874,0.03977247938571615,0.04047045749212817,0.1951655269595472
country_region,Eastern Europe,21070,2962,0.10744134579591753,0.12744718385611634,1.859494172796716e-78
country_region,South America,28941,3023,0.14757759794397957,0.13007185577212685,1.859494172796716e-78
country_region,Western Europe,75680,8763,0.3859117726547242,0.3770491803278688,1.859494172796716e-78
country_region,Asia,2562,126,0.013064296531995288,0.005421453465857751,1.859494172796716e-78
country_region,Middle East,3432,573,0.017500650155272378,0.024654705047115012,1.859494172796716e-78
country_region,Other,7460,1047,0.03804045750534147,0.04504969665677036,1.859494172796716e-78
country_region,Northern Europe,11809,1548,0.060217126364688664,0.0666064282948238,1.859494172796716e-78
country_region,Africa,15592,1717,0.07950761574038663,0.07387806032442666,1.859494172796716e-78
country_region,North America,1980,139,0.010096528935734064,0.005980809775827202,1.859494172796716e-78
country_region,Oceania,869,153,0.004431254366238839,0.006583193494255841,1.859494172796716e-78
country_region,Caribbean,876,140,0.0044669491655065854,0.006023837184286391,1.859494172796716e-78
country_region,Southern Europe,25836,3050,0.13174440484021477,0.13123359580052493,1.859494172796716e-78
fotmob_squad_role,Attacker,29935,2834,0.2572752118534816,0.2087968761511825,3.736782027160697e-58
fotmob_squad_role,Keeper,11660,1818,0.10021142375853,0.13394238561850733,3.736782027160697e-58
fotmob_squad_role,Defender,36137,4549,0.31057806349588324,0.3351506667649009,3.736782027160697e-58
fotmob_squad_role,Midfielder,38613,4370,0.3318579507365454,0.321962720106093,3.736782027160697e-58
fotmob_squad_role,Coach,9,2,7.735015555975729e-5,1.4735135931628969e-4,3.736782027160697e-58
