league,ClubID,Club,fin_club,sim
Austrian Bundesliga,170,Rapid Vienna,Rapid Wien,0.5
Belgian Pro League,520,Cercle Brugge,Club Brugge,1
Belgian Pro League,157,KAA Gent,Gent,1
Belgian Pro League,1184,KRC Genk,Genk,1
Belgian Pro League,1096,Royal Antwerp FC,Antwerp,1
Belgian Pro League,58,RSC Anderlecht,Anderlecht,1
Belgian Pro League,3057,Standard Liège,Standard Liege,0.5
Belgian Pro League,3948,Union Saint-Gilloise,Union SG,0.5
Brazilian Serie A,537,Botafogo de Futebol e Regatas,Botafogo,1
Brazilian Serie A,978,Clube de Regatas Vasco da Gama,Vasco Da Gama,1
Brazilian Serie A,8793,Red Bull Bragantino,Bragantino,1
Brazilian Serie A,330,Clube Atlético Mineiro,America Mineiro,0.5
Brazilian Serie A,679,Club Athletico Paranaense,Athletico Paranaense,1
Brazilian Serie A,15172,Atlético Clube Goianiense,Atletico Goianiense,0.5
Brazilian Serie A,199,Sport Club Corinthians Paulista,Corinthians,1
Brazilian Serie A,776,Coritiba Foot Ball Club,Coritiba,1
Brazilian Serie A,614,CR Flamengo,Flamengo,1
Brazilian Serie A,2462,Fluminense Football Club,Fluminense,1
Brazilian Serie A,10870,Fortaleza Esporte Clube,Fortaleza,1
Brazilian Serie A,6600,Sport Club Internacional,Internacional,1
Brazilian Serie A,10492,Esporte Clube Juventude,Juventude,1
Brazilian Serie A,1023,Sociedade Esportiva Palmeiras,Palmeiras,1
Brazilian Serie A,221,Santos FC,Santos,1
Brazilian Serie A,585,São Paulo Futebol Clube,Sao Paulo,0.5
Brazilian Serie B,978,Clube de Regatas Vasco da Gama,Vasco Da Gama,1
Brazilian Serie B,330,Clube Atlético Mineiro,America Mineiro,0.5
Brazilian Serie B,15172,Atlético Clube Goianiense,Atletico Goianiense,0.5
Brazilian Serie B,776,Coritiba Foot Ball Club,Coritiba,1
Brazilian Serie B,10492,Esporte Clube Juventude,Juventude,1
Brazilian Serie B,221,Santos FC,Santos,1
Danish Superligaen,678,Aarhus GF,AGF - Aarhus,0.5
Danish Superligaen,190,FC Copenhagen,FC Copenhagen,1
Danish Superligaen,865,FC Midtjylland,FC Midtjylland,1
Danish Superligaen,2778,FC Nordsjaelland,FC Nordsjaelland,1
Danish Superligaen,5724,Randers FC,Randers,1
Danish Superligaen,1177,Silkeborg IF,Silkeborg,1
Danish Superligaen,1053,Aalborg BK,AaB - Aalborg BK,1
Dutch Eredivisie,610,Ajax Amsterdam,Ajax,1
Dutch Eredivisie,1090,AZ Alkmaar,AZ Alkmaar,1
Dutch Eredivisie,234,Feyenoord Rotterdam,Feyenoord,1
Dutch Eredivisie,202,FC Groningen,Groningen,1
Dutch Eredivisie,306,SC Heerenveen,Heerenveen,1
Dutch Eredivisie,1304,Heracles Almelo,Heracles,1
Dutch Eredivisie,383,PSV Eindhoven,PSV Eindhoven,1
Dutch Eredivisie,317,FC Twente Enschede,Twente,1
Dutch Eredivisie,200,FC Utrecht,Utrecht,1
Dutch Eredivisie,499,Vitesse Arnhem,Vitesse,1
Dutch Eredivisie,403,Willem II Tilburg,Willem II,1
Dutch Eredivisie,468,Sparta Rotterdam,Sparta Rotterdam,1
English Championship,1132,Burnley FC,Burnley,1
English Championship,399,Leeds United,Leeds United,1
English Championship,1003,Leicester City,Leicester,1
English Championship,1123,Norwich City,Norwich City,1
English Championship,180,Southampton FC,Southampton,1
English Championship,1010,Watford FC,Watford,1
English Championship,337,Birmingham City,Birmingham City,1
English Championship,164,Blackburn Rovers,Blackburn Rovers,1
English Championship,1181,Blackpool FC,Blackpool,1
English Championship,698,Bristol City,Bristol City,1
English Championship,603,Cardiff City,Cardiff City,1
English Championship,990,Coventry City,Coventry,1
English Championship,22,Derby County,Derby County,1
English Championship,1110,Huddersfield Town,Huddersfield Town,1
English Championship,3008,Hull City,Hull City,1
English Championship,1031,Luton Town,Luton Town,1
English Championship,641,Middlesbrough FC,Middlesbrough,1
English Championship,1028,Millwall FC,Millwall,1
English Championship,1072,Peterborough United,Peterborough,1
English Championship,466,Preston North End,Preston North End,1
English Championship,124,Rangers FC,Queens Park Rangers,1
English Championship,1032,Reading FC,Reading,1
English Championship,350,Sheffield United,Sheffield United,1
English Championship,512,Stoke City,Stoke City,1
English Championship,2288,Swansea City,Swansea City,1
English Championship,984,West Bromwich Albion,West Brom,0.5
English Championship,677,Ipswich Town,Ipswich Town,1
English Championship,988,Oxford United,Oxford,1
English Championship,2262,Plymouth Argyle,Plymouth,1
English Championship,1020,Portsmouth FC,Portsmouth,1
English Championship,1194,Rotherham United,Rotherham,1
English Championship,1035,Sheffield Wednesday,Sheffield Wednesday,1
English Championship,289,Sunderland AFC,Sunderland,1
English Championship,1071,Wigan Athletic,Wigan Athletic,1
English League One,349,Barnsley FC,Barnsley,1
English League One,337,Birmingham City,Birmingham City,1
English League One,1181,Blackpool FC,Blackpool,1
English League One,22,Derby County,Derby County,1
English League One,1110,Huddersfield Town,Huddersfield Town,1
English League One,1072,Peterborough United,Peterborough,1
English League One,1032,Reading FC,Reading,1
English League One,355,Bolton Wanderers,Bolton,1
English League One,2963,Burton Albion,Burton Albion,1
English League One,358,Charlton Athletic,Charlton,1
English League One,1042,Crewe Alexandra,Crewe,1
English League One,26117,Ipswich Town U21,Ipswich Town,1
English League One,1198,Lincoln City,Lincoln City,1
English League One,991,Milton Keynes Dons,Milton Keynes Dons,1
English League One,988,Oxford United,Oxford,1
English League One,2262,Plymouth Argyle,Plymouth,1
