source_league_name,review_flag,has_tm_conflict,has_fotmob_conflict,rows,unique_tm_players,unique_fotmob_players
Brazilian Serie A,ambiguous_top_match,FALSE,TRUE,205,205,81
Brazilian Serie B,ambiguous_top_match,FALSE,TRUE,161,161,66
Portuguese Primeira Liga,ambiguous_top_match,FALSE,TRUE,46,46,27
Turkish 1.Lig,ambiguous_top_match,FALSE,TRUE,33,33,13
Turkish Super Lig,ambiguous_top_match,FALSE,TRUE,23,23,9
Ukrainian Premier Liga,ambiguous_top_match,FALSE,TRUE,23,23,8
Serbian Super Liga,ambiguous_top_match,FALSE,TRUE,20,20,16
Brazilian Serie A,many_candidates,FALSE,TRUE,17,17,12
Saudi Pro League,ambiguous_top_match,FALSE,TRUE,13,13,7
Italian Serie A,ambiguous_top_match,FALSE,TRUE,12,12,5
Portuguese Primeira Liga,many_candidates,FALSE,TRUE,12,12,7
Brazilian Serie B,many_candidates,FALSE,TRUE,9,9,3
Brazilian Serie A,needs_manual_team_check,FALSE,TRUE,8,8,7
French Ligue 1,ambiguous_top_match,FALSE,TRUE,7,7,3
Bulgarian Parva Liga,ambiguous_top_match,FALSE,TRUE,5,5,2
Italian Serie B,ambiguous_top_match,FALSE,TRUE,5,5,3
Swedish Allsvenskan,ambiguous_top_match,FALSE,TRUE,5,5,3
English Championship,needs_manual_team_check,FALSE,TRUE,4,4,4
French Ligue 1,many_candidates,FALSE,TRUE,4,4,3
Hungarian Nemzeti Bajnoksag,ambiguous_top_match,FALSE,TRUE,4,4,2
Polish Ekstraklasa,ambiguous_top_match,FALSE,TRUE,4,4,4
Brazilian Serie B,needs_manual_team_check,FALSE,TRUE,3,3,3
English Championship,ambiguous_top_match,FALSE,TRUE,3,3,3
English Premier League,ambiguous_top_match,FALSE,TRUE,3,3,3
Portuguese Primeira Liga,needs_manual_team_check,FALSE,TRUE,3,3,3
Spanish LaLiga,ambiguous_top_match,FALSE,TRUE,3,3,3
Spanish LaLiga 2,ambiguous_top_match,FALSE,TRUE,3,3,2
Belgian Challenger Pro League,ambiguous_top_match,FALSE,TRUE,2,2,1
English League One,ambiguous_top_match,FALSE,TRUE,2,2,2
German 2. Bundesliga,ambiguous_top_match,FALSE,TRUE,2,2,1
German 2. Bundesliga,needs_manual_team_check,FALSE,TRUE,2,2,2
German Bundesliga,ambiguous_top_match,FALSE,TRUE,2,2,1
German Bundesliga,needs_manual_team_check,FALSE,TRUE,2,2,2
Saudi Pro League,needs_manual_team_check,FALSE,TRUE,2,2,2
Brazilian Serie A,auto_keep_candidate,FALSE,TRUE,1,1,1
Brazilian Serie B,auto_keep_candidate,FALSE,TRUE,1,1,1
Bulgarian Parva Liga,many_candidates,FALSE,TRUE,1,1,1
Croatian 1.HNL,ambiguous_top_match,FALSE,TRUE,1,1,1
Croatian 1.HNL,needs_manual_team_check,FALSE,TRUE,1,1,1
Czech First League,ambiguous_top_match,FALSE,TRUE,1,1,1
English Championship,many_candidates,FALSE,TRUE,1,1,1
English Premier League,many_candidates,FALSE,TRUE,1,1,1
English Premier League,needs_manual_team_check,FALSE,TRUE,1,1,1
Scottish Premiership,ambiguous_top_match,FALSE,TRUE,1,1,1
Scottish Premiership,needs_manual_team_check,FALSE,TRUE,1,1,1
Swedish Allsvenskan,needs_manual_team_check,FALSE,TRUE,1,1,1
Turkish 1.Lig,many_candidates,FALSE,TRUE,1,1,1
Turkish 1.Lig,needs_manual_team_check,FALSE,TRUE,1,1,1
Ukrainian Premier Liga,many_candidates,FALSE,TRUE,1,1,1
