variant,outcome_name,term,estimate,std_error,t_value,p_value,nobs
"played, spell + club-month FE, cluster club",played,BosmanTRUE,0.0017089344971518215,0.005297211425023828,0.3226102113045515,0.747028305135252,211855
"minutes, spell + club-month FE, cluster club",Minutes_tm,BosmanTRUE,-1.8709240445316928,2.1276401747547284,-0.87934231865469,0.3793342563196146,211855
"z mean rating, spell + club-month FE, cluster club",z_mean,BosmanTRUE,-0.021815857773264762,0.016050339219750527,-1.3592147477119707,0.17435046464882023,116068
"z weighted rating, spell + club-month FE, cluster club",z_weighted,BosmanTRUE,-0.011870186390419547,0.014615839042771011,-0.8121453962159317,0.4168797134434701,116062
"z mean rating, minute-weighted regression, spell + club-month FE, cluster club",z_mean,BosmanTRUE,-0.016474296574515327,0.013515782943980703,-1.2188932481970796,0.2231397778495859,116064
"z weighted rating, minute-weighted regression, spell + club-month FE, cluster club",z_weighted,BosmanTRUE,-0.012518966886777201,0.0129953183243845,-0.9633443809749954,0.33558137957212375,116062
"z mean rating, win control, spell + club-month FE, cluster club",z_mean,BosmanTRUE,0.021091713158739367,0.029923800749325435,0.7048474000821848,0.4810904465293102,50830
"z weighted rating, win control, spell + club-month FE, cluster club",z_weighted,BosmanTRUE,0.030438510714093543,0.0264429427072978,1.1511014886286857,0.2500010349527419,50829
"z mean rating, win control, minute-weighted regression, spell + club-month FE, cluster club",z_mean,BosmanTRUE,0.015404198569500187,0.026121964774008875,0.5897029072188027,0.5555401922469735,50830
"z weighted rating, win control, minute-weighted regression, spell + club-month FE, cluster club",z_weighted,BosmanTRUE,0.012979424482335907,0.025535986979440418,0.5082797266769413,0.6113837098735908,50829
"z mean rating, event controls, spell + club-month FE, cluster club",z_mean,BosmanTRUE,0.020393976884628382,0.027733405374477126,0.7353578332431122,0.4623162021012238,50830
"z weighted rating, event controls, spell + club-month FE, cluster club",z_weighted,BosmanTRUE,0.029613649119303358,0.02348038967808543,1.2612077365539713,0.20756598736336038,50829
"z mean rating, event controls, minute-weighted regression, spell + club-month FE, cluster club",z_mean,BosmanTRUE,0.01487370895285478,0.024370614207959215,0.6103132578413706,0.5418108246655816,50830
"z weighted rating, event controls, minute-weighted regression, spell + club-month FE, cluster club",z_weighted,BosmanTRUE,0.012306597976259114,0.02225309423185985,0.5530286192128602,0.5803833188820046,50829
"z mean rating, regulars 270+ min, spell + club-month FE",z_mean,BosmanTRUE,-0.010308546263230543,0.020171092491950742,-0.5110554258448897,0.6094449590876001,41180
"z weighted rating, regulars 270+ min, spell + club-month FE",z_weighted,BosmanTRUE,-0.0030036808862911784,0.02108099447000277,-0.14248288383952995,0.8867323641070791,41180
"z mean rating, win control, regulars 270+ min, spell + club-month FE",z_mean,BosmanTRUE,-0.025805630653397735,0.040115324597537506,-0.6432860985744541,0.5202609019577267,17622
"z weighted rating, win control, regulars 270+ min, spell + club-month FE",z_weighted,BosmanTRUE,-0.009812960854555545,0.0450538273459262,-0.2178052661144856,0.8276478571501767,17622
"z mean rating, event controls, regulars 270+ min, spell + club-month FE",z_mean,BosmanTRUE,-0.026865581741632238,0.03772090127723999,-0.7122200380149022,0.47657907951636747,17622
"z weighted rating, event controls, regulars 270+ min, spell + club-month FE",z_weighted,BosmanTRUE,-0.011102855613638803,0.040538475229346706,-0.2738843913300715,0.7842587714990968,17622
