"sample_name","cutoff_days","bandwidth_days","n_rows","n_players","n_above","n_inside","n_above_players","n_inside_players"
"all_comps",120,30,7463,2366,5480,1983,2337,1659
"all_comps",120,60,11708,2467,7861,3847,2449,1672
"all_comps",120,90,12851,2480,8796,4055,2461,1676
"all_comps",120,180,23787,2646,18263,5524,2627,1678
"all_comps",150,30,7880,2449,2381,5499,1967,2350
"all_comps",150,60,10779,2471,3316,7463,2352,2366
"all_comps",150,90,15720,2529,6393,9327,2426,2374
"all_comps",150,180,27306,2891,16302,11004,2805,2379
"all_comps",180,30,3989,2358,935,3054,891,2342
"all_comps",180,60,11892,2513,4012,7880,2384,2449
"all_comps",180,90,17007,2574,7163,9844,2455,2460
"all_comps",180,180,30883,3217,17498,13385,3128,2472
"all_comps",210,30,6132,2418,3077,3055,2365,2344
"all_comps",210,60,10217,2487,6228,3989,2437,2358
"all_comps",210,90,18282,2627,9467,8815,2507,2461
"all_comps",210,180,32487,3246,19636,12851,3143,2480
"all_comps",240,30,6228,2437,3151,3077,2413,2365
"all_comps",240,60,12522,2541,6390,6132,2493,2418
"all_comps",240,90,16975,2809,9909,7066,2757,2431
"all_comps",240,180,34935,3315,19215,15720,3204,2529
"source_league",120,30,7380,2342,5433,1947,2315,1639
"source_league",120,60,11516,2447,7783,3733,2431,1650
"source_league",120,90,12644,2462,8710,3934,2443,1655
"source_league",120,180,23476,2632,18073,5403,2614,1658
"source_league",150,30,7802,2431,2350,5452,1942,2328
"source_league",150,60,10657,2452,3277,7380,2328,2342
"source_league",150,90,15484,2511,6318,9166,2406,2348
"source_league",150,180,26972,2878,16136,10836,2795,2355
"source_league",180,30,3950,2334,927,3023,886,2318
"source_league",180,60,11770,2496,3968,7802,2356,2431
"source_league",180,90,16810,2555,7080,9730,2427,2441
"source_league",180,180,30526,3208,17340,13186,3111,2453
"source_league",210,30,6065,2399,3041,3024,2336,2321
"source_league",210,60,10103,2468,6153,3950,2407,2334
"source_league",210,90,18092,2614,9363,8729,2485,2443
"source_league",210,180,32108,3237,19464,12644,3126,2462
"source_league",240,30,6153,2407,3112,3041,2384,2336
"source_league",240,60,12387,2529,6322,6065,2467,2399
"source_league",240,90,16809,2799,9818,6991,2737,2411
"source_league",240,180,34556,3305,19072,15484,3187,2511
