term,estimate,std_error,t_value,p_value,months_to_expiry,outcome_name,spec_name,nobs,ci_lo,ci_hi
months_to_expiry::0,-0.06647247550220084,0.012333347034323419,-5.389654188535316,7.267308077042173e-8,0,played_tm,spell_leaguemonth,220396,-0.09064583568947474,-0.042299115314926944
months_to_expiry::1,-5.169464803211898e-4,0.01142994943697903,-0.04522736370545313,0.9639272502255969,1,played_tm,spell_leaguemonth,220396,-0.022919647376800086,0.021885754416157706
months_to_expiry::2,0.004833570815284061,0.011076389363456488,0.43638505804347255,0.6625695498577379,2,played_tm,spell_leaguemonth,220396,-0.016876152337090656,0.02654329396765878
months_to_expiry::3,-0.005737947656989342,0.010982084021528712,-0.5224825857952793,0.6013493218121977,3,played_tm,spell_leaguemonth,220396,-0.027262832339185618,0.015786937025206935
months_to_expiry::4,0.0025477743103984422,0.010551297002633171,0.24146550985747273,0.809200741266421,4,played_tm,spell_leaguemonth,220396,-0.01813276781476257,0.023228316435559455
months_to_expiry::5,-0.020480604193035087,0.01078794548227518,-1.898471235944337,0.05767119296162757,5,played_tm,spell_leaguemonth,220396,-0.04162497733829444,6.637689522242668e-4
months_to_expiry::6,0.020147747841336845,0.009382944255486173,2.1472735308596267,0.03180247747363617,6,played_tm,spell_leaguemonth,220396,0.001757177100583946,0.03853831858208974
months_to_expiry::7,0.004830988622896638,0.010329757134602496,0.4676768833909803,0.6400288416695866,7,played_tm,spell_leaguemonth,220396,-0.015415335360924255,0.02507731260671753
months_to_expiry::8,0.004435322806791701,0.009805152288326919,0.4523461417393766,0.6510323171807368,8,played_tm,spell_leaguemonth,220396,-0.014782775678329058,0.02365342129191246
months_to_expiry::9,-0.003576216210190622,0.009501289970929448,-0.37639270258381397,0.7066352872326896,9,played_tm,spell_leaguemonth,220396,-0.02219874455321234,0.015046312132831096
months_to_expiry::10,0.025199962952041736,0.009572363113200925,2.6325749090409363,0.00849086298040156,10,played_tm,spell_leaguemonth,220396,0.006438131250167924,0.043961794653915545
months_to_expiry::11,0.025557060180742035,0.009050122488115679,2.8239463293787153,0.004755755611866512,11,played_tm,spell_leaguemonth,220396,0.007818820104035305,0.043295300257448766
months_to_expiry::12,-0.05733091846259486,0.008587065788332158,-6.676427067845964,2.6174506599976444e-11,12,played_tm,spell_leaguemonth,220396,-0.07416156740772589,-0.04050026951746383
months_to_expiry::13,-0.026857652853015633,0.007213964666882632,-3.7230086496419754,1.9826002930653963e-4,13,played_tm,spell_leaguemonth,220396,-0.04099702360010559,-0.012718282105925674
months_to_expiry::14,-0.012796249409898534,0.006950579129366225,-1.841033555870809,0.06565489003624744,14,played_tm,spell_leaguemonth,220396,-0.026419384503456336,8.268856836592675e-4
months_to_expiry::15,-0.022261440642366456,0.006730662786760815,-3.3074663443479317,9.457332458830076e-4,15,played_tm,spell_leaguemonth,220396,-0.035453539704417655,-0.00906934158031526
months_to_expiry::16,-0.01704234648212984,0.006444820000889214,-2.644347938309906,0.008201363703848998,16,played_tm,spell_leaguemonth,220396,-0.029674193683872696,-0.004410499280386981
months_to_expiry::17,-0.02416961145856312,0.006762978540162788,-3.5738116445333783,3.5396343967667853e-4,17,played_tm,spell_leaguemonth,220396,-0.03742504939728218,-0.010914173519844054
months_to_expiry::19,-0.011564655141940196,0.006260275104284579,-1.8473078178345963,0.0647406780287139,19,played_tm,spell_leaguemonth,220396,-0.02383479434633797,7.0548406245758e-4
months_to_expiry::20,-0.009529788007130283,0.0064232231555164925,-1.4836457922134874,0.13794363215821787,20,played_tm,spell_leaguemonth,220396,-0.02211930539194261,0.0030597293776820425
months_to_expiry::21,-0.013649336850875448,0.006646126954011284,-2.05372797500315,0.040035548626524316,21,played_tm,spell_leaguemonth,220396,-0.026675745680737564,-6.229280210133317e-4
months_to_expiry::22,7.473465215910788e-4,0.0075705552222746705,0.09871753123102231,0.921365105307029,22,played_tm,spell_leaguemonth,220396,-0.014090941714067275,0.015585634757249433
months_to_expiry::23,-0.0062630940691237105,0.008294832989705903,-0.7550596952218771,0.4502361393828651,23,played_tm,spell_leaguemonth,220396,-0.02252096672894728,0.00999477859069986
months_to_expiry::24,-0.03313271613056279,0.007849962117326257,-4.220748538064027,2.4627489282994942e-5,24,played_tm,spell_leaguemonth,220396,-0.048518641880522254,-0.017746790380603325
months_to_expiry::0,-10.980142345373148,3.8977470699008507,-2.81704845092795,0.004858998627395383,0,Minutes_tm,spell_leaguemonth,220396,-18.619726602378815,-3.34055808836748
months_to_expiry::1,-1.2817107594039734,3.865470289398766,-0.3315795138612565,0.7402157681079244,1,Minutes_tm,spell_leaguemonth,220396,-8.858032526625555,6.294611007817608
months_to_expiry::2,-3.9861771351367548,4.111468672149242,-0.9695263306124153,0.3323129441920639,2,Minutes_tm,spell_leaguemonth,220396,-12.04465573254927,4.07230146227576
months_to_expiry::3,-12.413711412756491,3.9606233470821826,-3.1342822391585794,0.0017291911223198788,3,Minutes_tm,spell_leaguemonth,220396,-20.17653317303757,-4.6508896524754135
months_to_expiry::4,-9.456998487393491,3.929067733870793,-2.406931905466734,0.016110438784571964,4,Minutes_tm,spell_leaguemonth,220396,-17.157971245780246,-1.7560257290067378
months_to_expiry::5,-13.335184437660512,3.8049747293370846,-3.504670960057549,4.5975833433710574e-4,5,Minutes_tm,spell_leaguemonth,220396,-20.792934907161197,-5.877433968159827
months_to_expiry::6,-4.124977256517088,3.3506136068244516,-1.2311109965396876,0.2183187602722066,6,Minutes_tm,spell_leaguemonth,220396,-10.692179925893013,2.4422254128588374
months_to_expiry::7,-13.028405254740216,3.68473622482435,-3.5357769077110195,4.089553473786663e-4,7,Minutes_tm,spell_leaguemonth,220396,-20.250488255395943,-5.80632225408449
months_to_expiry::8,-11.257606744914646,3.643239852437503,-3.089998792526044,0.0020086746756650905,8,Minutes_tm,spell_leaguemonth,220396,-18.398356855692153,-4.11685663413714
months_to_expiry::9,-11.554694453393662,3.4511362836770383,-3.348084081189233,8.176057737444013e-4,9,Minutes_tm,spell_leaguemonth,220396,-18.318921569400658,-4.790467337386667
months_to_expiry::10,3.391193681929904,3.530846476954149,0.9604477861227444,0.33685989945765804,10,Minutes_tm,spell_leaguemonth,220396,-3.5292654129002283,10.311652776760036
months_to_expiry::11,2.9540348631098565,3.0968226534850785,0.9538921642107815,0.3401680190684051,11,Minutes_tm,spell_leaguemonth,220396,-3.1157375377208973,9.023807263940611
months_to_expiry::12,-9.04762088233512,2.627993577814628,-3.442786526844898,5.788012529072497e-4,12,Minutes_tm,spell_leaguemonth,220396,-14.198488294851792,-3.8967534698184494
months_to_expiry::13,-3.235982708191454,2.677668170182396,-1.2085077397663606,0.22688893982331113,13,Minutes_tm,spell_leaguemonth,220396,-8.484212321748949,2.012246905366042
months_to_expiry::14,-0.38029919500710996,2.8497586999893985,-0.1334496127719602,0.8938412802842859,14,Minutes_tm,spell_leaguemonth,220396,-5.965826246986331,5.205227856972111
months_to_expiry::15,-8.25056275401038,2.6806466623936926,-3.0778255373063645,0.002092461302990412,15,Minutes_tm,spell_leaguemonth,220396,-13.504630212302018,-2.9964952957187423
months_to_expiry::16,-7.39606094438219,2.6529319167058465,-2.7878819270891433,0.005318331000291456,16,Minutes_tm,spell_leaguemonth,220396,-12.595807501125648,-2.196314387638731
months_to_expiry::17,-8.38393584383642,2.507140995140287,-3.344022478228153,8.29652612195779e-4,17,Minutes_tm,spell_leaguemonth,220396,-13.297932194311382,-3.4699394933614576
months_to_expiry::19,-5.189091758164011,2.3161882383689583,-2.240358392380979,0.025095924200601697,19,Minutes_tm,spell_leaguemonth,220396,-9.72882070536717,-0.6493628109608531
months_to_expiry::20,-4.460797367610801,2.7136396975676176,-1.6438429064880113,0.10024927005698109,20,Minutes_tm,spell_leaguemonth,220396,-9.779531174843331,0.8579364396217297
months_to_expiry::21,-3.229163628471729,2.6820778885458183,-1.2039783192957652,0.22863477665700882,21,Minutes_tm,spell_leaguemonth,220396,-8.486036290021532,2.0277090330780747
months_to_expiry::22,5.372017292692116,3.003158457031768,1.7887891596641416,0.07368787114103513,22,Minutes_tm,spell_leaguemonth,220396,-0.5141732830901491,11.258207868474383
months_to_expiry::23,-2.286478040398346,2.808296643571132,-0.8141867938462432,0.41556299759689164,23,Minutes_tm,spell_leaguemonth,220396,-7.790739461797764,3.2177833810010723
months_to_expiry::24,-3.958577376998277,2.9974857288280514,-1.3206326018259278,0.18666294327052638,24,Minutes_tm,spell_leaguemonth,220396,-9.833649405501259,1.9164946515047037
months_to_expiry::0,0.02296285317032556,0.06514160806686269,0.3525066981268871,0.7244685300973317,0,z_rating,spell_leaguemonth,136642,-0.1047146986407253,0.15064040498137643
months_to_expiry::1,0.05640731980869295,0.033129532631262,1.7026295069271624,0.08868023699547546,1,z_rating,spell_leaguemonth,136642,-0.008526564148580558,0.12134120376596647
months_to_expiry::2,0.07356969602271675,0.03203421095199921,2.2965977258798493,0.021670070506639095,2,z_rating,spell_leaguemonth,136642,0.010782642556798297,0.1363567494886352
months_to_expiry::3,0.010820095212303493,0.031392354426671557,0.34467294377609753,0.7303502460374874,3,z_rating,spell_leaguemonth,136642,-0.050708919463972754,0.07234910988857975
months_to_expiry::4,-0.026681677942413114,0.02924930376866165,-0.9122158309628023,0.361685405293,4,z_rating,spell_leaguemonth,136642,-0.08401031332898995,0.030646957444163715
months_to_expiry::5,-0.014751314959817116,0.029911080160547898,-0.4931722585957895,0.6219057961952008,5,z_rating,spell_leaguemonth,136642,-0.07337703207449099,0.04387440215485676
months_to_expiry::6,-0.03994318758481553,0.025948432121725092,-1.5393295208527629,0.12376745744051106,6,z_rating,spell_leaguemonth,136642,-0.0908021145433967,0.010915739373765651
months_to_expiry::7,-0.026763869344013945,0.028845856627662883,-0.9278236971596006,0.3535298781686015,7,z_rating,spell_leaguemonth,136642,-0.08330174833423319,0.0297740096462053
months_to_expiry::8,-9.486273423498209e-4,0.028200931261293506,-0.03363815661122638,0.973166619753034,8,z_rating,spell_leaguemonth,136642,-0.056222452614485094,0.05432519792978545
months_to_expiry::9,0.03257223825983397,0.027841288166330164,1.1699256896893577,0.24206928470577735,9,z_rating,spell_leaguemonth,136642,-0.02199668654617315,0.08714116306584109
months_to_expiry::10,-0.009764735835916109,0.027745037866954834,-0.3519453057783064,0.7248894971778004,10,z_rating,spell_leaguemonth,136642,-0.06414501005514758,0.04461553838331536
months_to_expiry::11,-0.052280860668199244,0.049232339117071436,-1.0619211194470897,0.2883068240562842,11,z_rating,spell_leaguemonth,136642,-0.14877624533765926,0.044214524001260774
months_to_expiry::12,0.0770850877319666,0.054037993557103946,1.4264979629657777,0.15376766080772333,12,z_rating,spell_leaguemonth,136642,-0.02882937963995713,0.18299955510389032
months_to_expiry::13,0.027149558076192806,0.026480539381302053,1.0252645418304112,0.305272545605523,13,z_rating,spell_leaguemonth,136642,-0.02475229911115922,0.07905141526354484
months_to_expiry::14,0.06283792886274828,0.02542081118882624,2.4719088779656566,0.013462139235945837,14,z_rating,spell_leaguemonth,136642,0.013013138932648848,0.1126627187928477
months_to_expiry::15,0.0350344455192274,0.024454213361354612,1.4326547741091071,0.15199958189162546,15,z_rating,spell_leaguemonth,136642,-0.012895812669027638,0.08296470370748243
months_to_expiry::16,0.005517907128268195,0.022509897746006712,0.2451324830761206,0.8063607815164282,16,z_rating,spell_leaguemonth,136642,-0.038601492453904956,0.04963730671044135
months_to_expiry::17,0.014548354233558422,0.02318849679268219,0.6273953143072897,0.5304198720140854,17,z_rating,spell_leaguemonth,136642,-0.03090109948009867,0.059997807947215515
months_to_expiry::19,0.028651535122268108,0.02258350921533796,1.268692781492477,0.20459133966634876,19,z_rating,spell_leaguemonth,136642,-0.015612142939794297,0.07291521318433052
months_to_expiry::20,0.06711496226143765,0.02226711223698248,3.0140846979685727,0.00258646070036578,20,z_rating,spell_leaguemonth,136642,0.023471422276951988,0.11075850224592332
months_to_expiry::21,0.023846368747479217,0.023957856811410758,0.9953464926011896,0.3196009501404625,21,z_rating,spell_leaguemonth,136642,-0.023111030602885864,0.0708037680978443
months_to_expiry::22,-0.0029330797830206846,0.02492728459055508,-0.1176654349319711,0.9063360108425824,22,z_rating,spell_leaguemonth,136642,-0.05179055758050864,0.04592439801446728
months_to_expiry::23,-0.07386885511253966,0.047266046421377474,-1.5628312648364486,0.11813587988972622,23,z_rating,spell_leaguemonth,136642,-0.1665103060984395,0.018772595873360193
months_to_expiry::24,0.02431759311697658,0.023391842924923544,1.0395757698538008,0.298571663336667,24,z_rating,spell_leaguemonth,136642,-0.02153041901587356,0.07016560524982672
months_to_expiry::0,-0.27169961270142623,0.011842808937322194,-22.94215959569984,9.536659712231456e-113,0,played_tm,player_month,220396,-0.29491151821857775,-0.24848770718427474
months_to_expiry::1,-0.1601403625523917,0.01073371328221443,-14.919381423923575,1.2022765611806493e-49,1,played_tm,player_month,220396,-0.18117844058553198,-0.1391022845192514
months_to_expiry::2,-0.14748110348395305,0.010347542583404966,-14.252766035529845,1.6176880778478962e-45,2,played_tm,player_month,220396,-0.1677622869474268,-0.1271999200204793
months_to_expiry::3,-0.1471215369668442,0.010166965913638961,-14.470544921320235,7.576592300612637e-47,3,played_tm,player_month,220396,-0.16704879015757657,-0.12719428377611186
months_to_expiry::4,-0.1295293715822966,0.009950162202283107,-13.017815081705455,2.4439361621828243e-38,4,played_tm,player_month,220396,-0.1490316894987715,-0.11002705366582172
months_to_expiry::5,-0.13996991540319104,0.010621487631439481,-13.177995424000843,3.101350577337126e-39,5,played_tm,player_month,220396,-0.16078803116081242,-0.11915179964556966
months_to_expiry::6,0.005112860985097084,0.009118169166403522,0.5607332888641448,0.5749956012626042,6,played_tm,player_month,220396,-0.012758750581053819,0.022984472551247987
months_to_expiry::7,-0.10128153923717985,0.009933260363228842,-10.196203012266349,2.933536056634318e-24,7,played_tm,player_month,220396,-0.12075072954910837,-0.08181234892525133
