term,estimate,std_error,t_value,p_value,months_to_expiry,outcome_name,variant,nobs,ci_lo,ci_hi
months_to_expiry::0,-0.14636517382058717,0.01286683025288371,-11.37538701793193,9.54627002227268e-30,0,played_tm,baseline,219714,-0.17158416111623925,-0.1211461865249351
months_to_expiry::1,-0.04750792171781247,0.012034829557661268,-3.9475358990497162,7.965898197972211e-5,1,played_tm,baseline,219714,-0.07109618765082856,-0.023919655784796386
months_to_expiry::2,-0.0369344958981173,0.011546565568175043,-3.1987430097757517,0.0013858435797149931,2,played_tm,baseline,219714,-0.059565764411740385,-0.014303227384494216
months_to_expiry::3,-0.04504608258156033,0.011415530438288853,-3.946034993737231,8.015868837409068e-5,3,played_tm,baseline,219714,-0.06742052224060648,-0.02267164292251418
months_to_expiry::4,-0.034814114074669944,0.01101915628554743,-3.1594173975308477,0.0015869353610358367,4,played_tm,baseline,219714,-0.05641166039434291,-0.01321656775499698
months_to_expiry::5,-0.058991543051330246,0.011230998100622974,-5.252564600474648,1.5399023145683116e-7,5,played_tm,baseline,219714,-0.08100429932855127,-0.03697878677410922
months_to_expiry::6,-1.535707689212809e-4,0.009900697395674679,-0.015511106216454148,0.9876248238655385,6,played_tm,baseline,219714,-0.019558937664443648,0.01925179612660109
months_to_expiry::7,-0.032037949862919156,0.010739747632059121,-2.9831194326469057,0.0028621657759846483,7,played_tm,baseline,219714,-0.053087855221755034,-0.010988044504083277
months_to_expiry::8,-0.03373733352189351,0.010235526180389578,-3.296101531793397,9.847796032970728e-4,8,played_tm,baseline,219714,-0.05379896483545708,-0.013675702208329935
months_to_expiry::9,-0.044667992802327264,0.009960878868150322,-4.484342535792914,7.419348752977311e-6,9,played_tm,baseline,219714,-0.0641913153839019,-0.025144670220752632
months_to_expiry::10,-0.02696631087302734,0.00989437952351861,-2.72541707228122,0.006436470652468125,10,played_tm,baseline,219714,-0.04635929473912381,-0.007573327006930867
months_to_expiry::11,-0.027694590092713287,0.009737129479305493,-2.8442253080410533,0.004463631352923539,11,played_tm,baseline,219714,-0.04677936387215205,-0.00860981631327452
months_to_expiry::12,-0.11424223756431928,0.009337320269215993,-12.235013287587662,4.168674163562894e-34,12,played_tm,baseline,219714,-0.13254338529198262,-0.09594108983665593
months_to_expiry::13,-0.05330446175100093,0.007936461392348607,-6.7164015693934775,1.994438037045459e-11,13,played_tm,baseline,219714,-0.0688599260800042,-0.037748997421997665
