model_name,sample_name,outcome_name,split_var,split_level,term,estimate,std_error,t_value,p_value,nobs
bosman_fe,source_league_strict,z_mean_rating_league_season,age_group,u23,BosmanTRUE,0.048888371547818284,0.03287496203906089,1.4871004714691631,0.13708008567828378,37179
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,age_group,u23,expiry_bin_6m::0:6,0.06904503247887836,0.03935841698481366,1.754263452859885,0.07947456337087054,37179
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,age_group,u23,expiry_bin_6m::6:12,0.030184027313363913,0.03389874262799784,0.8904173126596783,0.3733042264309143,37179
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,age_group,u23,expiry_bin_6m::12:18,0.045637942541268225,0.026685969451757514,1.7101849203481927,0.08732201330560958,37179
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,age_group,u23,expiry_bin_6m::18:24,0.04336049576086307,0.027136568218938915,1.597862169270221,0.11016565861802916,37179
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,age_group,u23,expiry_bin_6m::30:36,-0.0030569490443869344,0.02246715882765133,-0.13606300057062007,0.8917794520846631,37179
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,age_group,u23,expiry_bin_6m::36:48,-0.036872900967044694,0.02398587482247153,-1.5372756357629183,0.12431795457572715,37179
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,age_group,u23,expiry_bin_6m::48+,-0.12706826867959164,0.03069157408382073,-4.140167862767799,3.553962993934122e-5,37179
observed_renewal_status_fe,source_league_strict,z_mean_rating_league_season,age_group,u23,signed_new_contractTRUE,-0.1077411811062567,0.027775460686478383,-3.8790060882305055,1.0685041215199402e-4,37179
observed_renewal_status_fe,source_league_strict,z_mean_rating_league_season,age_group,u23,post_observed_renewalTRUE,-0.06040406678650065,0.024597677485637633,-2.455681713111738,0.01411097124561406,37179
bosman_fe,source_league_strict,z_weighted_rating_league_season,age_group,u23,BosmanTRUE,0.04688882754710658,0.033095176960070326,1.4167873344106436,0.15663582333876652,37176
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,age_group,u23,expiry_bin_6m::0:6,0.06698354005035437,0.03932214947380499,1.7034557099930767,0.08857330075529414,37176
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,age_group,u23,expiry_bin_6m::6:12,0.03295602190768905,0.03399323069975979,0.9694877841640962,0.3323701491654141,37176
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,age_group,u23,expiry_bin_6m::12:18,0.04682397000772633,0.026755686608381304,1.750056752161934,0.08019782986711069,37176
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,age_group,u23,expiry_bin_6m::18:24,0.04941778838188098,0.02725785225615963,1.8129744015584988,0.06992304469737814,37176
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,age_group,u23,expiry_bin_6m::30:36,0.0013980356468467716,0.022591025512931465,0.06188455880617343,0.9506583656423329,37176
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,age_group,u23,expiry_bin_6m::36:48,-0.029017789952704275,0.024201577264117924,-1.19900408291682,0.2306090869731455,37176
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,age_group,u23,expiry_bin_6m::48+,-0.12036842102852141,0.03055292251492754,-3.9396696329037533,8.32166181480679e-5,37176
observed_renewal_status_fe,source_league_strict,z_weighted_rating_league_season,age_group,u23,signed_new_contractTRUE,-0.11546675485229493,0.0281269175764608,-4.105204722074777,4.1335901997529277e-05,37176
observed_renewal_status_fe,source_league_strict,z_weighted_rating_league_season,age_group,u23,post_observed_renewalTRUE,-0.057338750198217964,0.0246279727535671,-2.3281961033480947,0.019959478717003747,37176
bosman_fe,source_league_strict,z_mean_rating_league_season,age_group,23_28,BosmanTRUE,0.03362208526759201,0.01679342338137383,2.0020983514822492,0.04533241839781711,73286
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,age_group,23_28,expiry_bin_6m::0:6,0.07147621147410257,0.02148696724093615,3.3264913876691184,8.863266997766056e-4,73286
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,age_group,23_28,expiry_bin_6m::6:12,0.0705782282943324,0.021415022494674148,3.2957344925453613,9.89044099740906e-4,73286
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,age_group,23_28,expiry_bin_6m::12:18,0.050963293542991596,0.01726854393498289,2.9512212341047093,0.0031810890027819437,73286
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,age_group,23_28,expiry_bin_6m::18:24,0.032767194881958214,0.018810461631842204,1.741966546237768,0.08158074650393937,73286
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,age_group,23_28,expiry_bin_6m::30:36,-0.005907132440464052,0.017357440749057138,-0.34032277718043946,0.7336289151493748,73286
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,age_group,23_28,expiry_bin_6m::36:48,-0.08167849963052627,0.018743429876346356,-4.357713618551857,1.3427655850562136e-5,73286
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,age_group,23_28,expiry_bin_6m::48+,-0.13737140904612768,0.028561106607464283,-4.809736924206797,1.5592997772422944e-6,73286
observed_renewal_status_fe,source_league_strict,z_mean_rating_league_season,age_group,23_28,signed_new_contractTRUE,-0.13146240807297618,0.021298828313483415,-6.172283570629691,7.306615677234011e-10,73286
observed_renewal_status_fe,source_league_strict,z_mean_rating_league_season,age_group,23_28,post_observed_renewalTRUE,-0.10282923541075405,0.018127996951060897,-5.672399200438757,1.4938444112186404e-8,73286
bosman_fe,source_league_strict,z_weighted_rating_league_season,age_group,23_28,BosmanTRUE,0.031233011287049067,0.016656415142786988,1.8751340561161765,0.060837216896420916,73285
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,age_group,23_28,expiry_bin_6m::0:6,0.06615854766099864,0.02120800775293099,3.1195078968157866,0.0018226753367857217,73285
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,age_group,23_28,expiry_bin_6m::6:12,0.06367558701149822,0.021320315535855637,2.986615601650511,0.0028356307240613326,73285
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,age_group,23_28,expiry_bin_6m::12:18,0.05097026787925431,0.017062689581571956,2.987235255941315,0.0028299003161635474,73285
