sample_name,split_var,split_level,n_rows,n_players,bosman_rows
source_league_strict,age_group,23_28,73286,4628,6667
source_league_strict,age_group,29_plus,34711,2240,7160
source_league_strict,age_group,u23,37179,3435,1777
source_league_strict,position_group,attackers,34747,1775,3126
source_league_strict,position_group,defenders,42029,2135,5025
source_league_strict,position_group,keepers,9521,632,1211
source_league_strict,position_group,midfielders,45660,2251,4833
source_league_strict,squad_role,rotation_bench,32631,6444,3584
source_league_strict,squad_role,starter,112950,7443,12090
source_league_strict,league_tier,other,98787,6579,12819
source_league_strict,league_tier,top5,46794,2723,2855
all_comps_strict,age_group,23_28,74706,4701,6804
all_comps_strict,age_group,29_plus,35464,2261,7327
all_comps_strict,age_group,u23,38414,3506,1836
all_comps_strict,position_group,attackers,35565,1806,3218
all_comps_strict,position_group,defenders,42933,2171,5137
all_comps_strict,position_group,keepers,9960,661,1251
all_comps_strict,position_group,midfielders,46560,2289,4921
all_comps_strict,squad_role,rotation_bench,33265,6544,3654
all_comps_strict,squad_role,starter,115735,7596,12384
all_comps_strict,league_tier,other,101235,6694,13132
all_comps_strict,league_tier,top5,47765,2776,2906
