sample_name,outcome_name,cutoff_days,bandwidth_days,specification,estimate,std_error,t_value,p_value,nobs,n_players,n_left,n_right
source_league,fotmob_mean_rating,180,30,month_fe,0.11094167307578293,0.305873305716927,0.3627046590932483,0.7168568433960711,3738,2448,829,2909
source_league,fotmob_minutes_weighted_rating,180,30,month_fe,0.30180254016650027,0.241299690475881,1.2507373696638322,0.2111555164892935,3575,2338,815,2760
source_league,fotmob_mean_rating,180,60,month_fe,0.12893446001981684,0.3484048452067811,0.37007080066091846,0.7113548804651728,11555,3118,3655,7900
source_league,fotmob_minutes_weighted_rating,180,60,month_fe,0.14719331386837337,0.2813595016947735,0.5231503218542544,0.6009084664280153,10866,2987,3480,7386
source_league,fotmob_mean_rating,180,90,month_fe,0.16863278994072206,0.3669881027940492,0.4595047868223604,0.6459012669616451,17544,3381,6820,10724
source_league,fotmob_minutes_weighted_rating,180,90,month_fe,0.33268698368884847,0.30290594793992265,1.0983177648094005,0.2721465206535827,16632,3275,6506,10126
source_league,fotmob_mean_rating,180,180,month_fe,-0.2438367530172224,0.2762585499531943,-0.8826396615001959,0.37748247451569705,30714,4122,16978,13736
source_league,fotmob_minutes_weighted_rating,180,180,month_fe,-0.10198513044299819,0.17390981501573383,-0.58642538624845,0.5576226638954238,29258,4015,16208,13050
all_comps,fotmob_mean_rating,180,30,month_fe,0.1265828208227882,0.34769620244003674,0.364061556998508,0.7158424285472633,3872,2534,877,2995
all_comps,fotmob_minutes_weighted_rating,180,30,month_fe,0.25139753151781624,0.3273542943442229,0.7679677213993232,0.4425812580529672,3704,2422,861,2843
all_comps,fotmob_mean_rating,180,60,month_fe,0.1051121847006409,0.339679807081097,0.3094449022562764,0.757003171498516,11895,3216,3762,8133
all_comps,fotmob_minutes_weighted_rating,180,60,month_fe,0.07017644190992345,0.3023354696342747,0.23211448525974668,0.8164644851966976,11209,3087,3607,7602
all_comps,fotmob_mean_rating,180,90,month_fe,0.45065576596645823,0.38416076330379334,1.1730916038660637,0.24083910732220595,18073,3492,7000,11073
all_comps,fotmob_minutes_weighted_rating,180,90,month_fe,0.6569613327935143,0.3498447773109889,1.8778652002271257,0.06048546295377281,17145,3388,6704,10441
all_comps,fotmob_mean_rating,180,180,month_fe,-0.09197141403661627,0.2672617476635446,-0.34412486949834264,0.7307694456724383,31636,4241,17423,14213
all_comps,fotmob_minutes_weighted_rating,180,180,month_fe,0.24290193357860473,0.2347825450449741,1.034582590166894,0.3009241413842453,30191,4153,16716,13475
