panel,outcome_name,wage_tercile,term,estimate,std_error,t_value,p_value,nobs
full,played,low_wage,BosmanTRUE,-0.004683779553960189,0.01908930495351303,-0.24536145058011802,0.8062261258370459,9964
full,Minutes_tm,low_wage,BosmanTRUE,0.5164919839361738,7.768674729686639,0.06648392446687072,0.9470056357236796,9964
strict,z_mean,low_wage,BosmanTRUE,0.035102426020060515,0.060665582860313726,0.578621754955953,0.5629764301323417,8838
strict,z_weighted,low_wage,BosmanTRUE,0.13116251821202043,0.0584598498390854,2.2436341963425144,0.025077028846969687,8838
full,played,mid_wage,BosmanTRUE,0.005001275739962885,0.017193356320328545,0.2908842024084403,0.7711931216567407,12060
full,Minutes_tm,mid_wage,BosmanTRUE,6.710148022147187,7.917654870865866,0.8474918560593148,0.3969000113824328,12060
strict,z_mean,mid_wage,BosmanTRUE,-0.1332348799275269,0.05564628897397787,-2.3943174357922077,0.016818415577640532,10768
strict,z_weighted,mid_wage,BosmanTRUE,-0.055919548069092335,0.04974594437039285,-1.124102653529557,0.2612153955302303,10768
full,played,high_wage,BosmanTRUE,-0.044241659224234356,0.01963492601029687,-2.253212423669604,0.024413548168516652,15854
full,Minutes_tm,high_wage,BosmanTRUE,-8.634529196210387,7.7057897162366915,-1.1205248928629301,0.26269919887720883,15854
strict,z_mean,high_wage,BosmanTRUE,-0.11218856866710392,0.05538615227351639,-2.0255707259294184,0.04302091438926451,14297
strict,z_weighted,high_wage,BosmanTRUE,-0.015533294056375864,0.046530270880817605,-0.3338320143495997,0.7385623175563456,14297
