panel,outcome_name,wage_tercile,term,estimate,std_error,t_value,p_value,nobs
full,played,q1_bottom20,BosmanTRUE,0.12222222222203122,0.2424362495691556,0.5041416967934368,0.6210329547734732,104
strict,z_weighted,q1_bottom20,BosmanTRUE,0.36729443494196556,0.23494190740152862,1.5633415043074423,0.13753307856892777,102
full,played,q2,BosmanTRUE,-0.05292472109611126,0.052476338747752725,-1.0085444670695083,0.316617986460063,501
strict,z_weighted,q2,BosmanTRUE,0.422483547921798,0.25066726943263506,1.6854356329729647,0.09642231332897624,457
full,played,q3,BosmanTRUE,0.13289174836784054,0.20354353391482702,0.6528910342268559,0.516202069149818,456
strict,z_weighted,q3,BosmanTRUE,-0.8847640513598176,0.8538439124186314,-1.03621287039876,0.3042611210230471,399
full,played,q4,BosmanTRUE,-0.04077636932654472,0.08421692302523526,-0.484182606794198,0.6290586429975664,1138
strict,z_weighted,q4,BosmanTRUE,0.2175891721112529,0.18128787461475673,1.200241177594683,0.23231543241559305,959
full,played,q5_top20,BosmanTRUE,0.019723650994653622,0.10017462565229257,0.196892684811368,0.8441300182948578,1918
strict,z_weighted,q5_top20,BosmanTRUE,0.17014649746402102,0.17029421810228246,0.9991325563491962,0.3191422195674202,1603
