fotmob_source_league,2024/2025,2025/2026,2022/2023,2023/2024
English Championship,2132,3494,0,0
English Premier League,2314,3399,1422,1675
Italian Serie A,2164,3185,1108,1646
French Ligue 1,1340,2479,711,889
German Bundesliga,1651,2455,873,1303
Dutch Eredivisie,1646,2414,0,0
Spanish LaLiga,1542,2375,976,1107
Brazilian Serie A,1319,1833,0,0
Turkish Super Lig,1172,1813,0,0
Portuguese Primeira Liga,875,1632,0,0
Saudi Pro League,1152,1436,0,0
German 2. Bundesliga,354,1122,0,0
Swiss Super League,340,1023,0,0
Spanish LaLiga 2,338,1002,0,0
Polish Ekstraklasa,179,693,0,0
English League One,277,672,0,0
Italian Serie B,519,662,0,0
French Ligue 2,139,567,0,0
Scottish Premiership,259,563,0,0
Croatian 1.HNL,126,484,0,0
Turkish 1.Lig,163,435,0,0
Belgian Challenger Pro League,57,385,0,0
Czech First League,18,317,0,0
Swedish Allsvenskan,162,269,0,0
Serbian Super Liga,23,260,0,0
Brazilian Serie B,170,224,0,0
Norwegian Eliteserien,117,211,0,0
Ukrainian Premier Liga,5,145,0,0
Bulgarian Parva Liga,10,130,0,0
Hungarian Nemzeti Bajnoksag,11,59,0,0
