months_left_on_old,n,share
0,20,0.005825808330905913
1,45,0.013108068744538305
2,110,0.03204194581998252
3,177,0.05155840372851733
4,112,0.03262452665307312
5,36,0.010486454995630643
6,73,0.021264200407806584
7,95,0.02767258957180309
8,363,0.10573842120594232
9,466,0.13574133411010778
10,74,0.02155549082435188
11,102,0.029711622487620156
12,9,0.0026216137489076608
13,15,0.004369356248179435
14,66,0.019225167491989513
15,136,0.03961549665016021
16,68,0.019807748325080105
17,27,0.007864841246722983
18,46,0.013399359161083601
19,64,0.01864258665889892
20,230,0.06699679580541801
21,274,0.07981357413341102
22,51,0.014855811243810078
23,40,0.011651616661811826
24,5,0.0014564520827264782
25,8,0.002330323332362365
26,33,0.009612583745994756
27,83,0.02417710457325954
28,38,0.011069035828721235
29,17,0.004951937081270026
30,21,0.006117098747451209
31,26,0.007573550830177687
32,135,0.03932420623361491
33,119,0.03466355956889018
34,23,0.0066996795805418004
35,18,0.0052432274978153216
36,208,0.0605884066414215
