source_league_name,source_league_id,observations,players,matches,positive_rating_observations,mean_rating,sd_rating,first_match_date,last_match_date
English League One,108,82137,1969,2830,63154,6.815694334483959,0.7729422976340041,2022-07-30,2026-05-24
English Championship,48,87200,1951,3386,62289,6.833128802838383,0.7702909782063533,2022-07-29,2026-05-23
Spanish LaLiga 2,140,83408,1941,2424,54527,6.808064995323417,0.7308037602295083,2022-08-12,2026-06-20
Italian Serie B,86,71348,1714,1909,46086,6.793590027340191,0.7232765867488764,2022-08-12,2026-05-29
Spanish LaLiga,87,69234,1551,2264,45430,6.827879154743562,0.7715277332530713,2022-08-12,2026-05-24
Italian Serie A,55,72898,1666,2389,45319,6.807429113616806,0.7509756421853615,2022-08-13,2026-05-24
Argentine Primera Division,112,71886,2264,1573,44968,6.855705835260631,0.73922264050367,2022-07-01,2026-05-24
English Premier League,47,63096,1462,2233,43408,6.882675543678586,0.8220417510150929,2022-08-05,2026-05-24
French Ligue 2,110,50148,1552,1725,38731,6.853753324210578,0.7604830004613568,2022-07-30,2026-05-09
Turkish Super Lig,71,57414,1706,2266,38139,6.847075172395711,0.8019022535023543,2022-08-05,2026-05-17
French Ligue 1,53,53459,1541,2181,37652,6.878613885052586,0.801037108268792,2022-08-05,2026-05-17
Brazilian Serie A,268,58944,1955,1292,37644,6.837573318457125,0.7447550832049432,2022-07-02,2026-05-31
Brazilian Serie B,8814,55052,2252,1270,36550,6.7727225718194255,0.7080863589577578,2022-07-01,2026-06-30
German Bundesliga,54,50309,1234,1965,35895,6.865752333194037,0.8285194487895414,2022-08-05,2026-05-16
Dutch Eredivisie,57,55578,1408,1875,35856,6.873536367692995,0.8367250471869441,2022-08-05,2026-05-24
Portuguese Primeira Liga,61,50559,1534,2301,35716,6.822367846343375,0.7888051675557749,2022-08-05,2026-05-16
Belgian Pro League,40,50179,1330,1896,35698,6.888899097988683,0.8011435319288308,2022-07-22,2026-05-31
German 2. Bundesliga,146,50259,1388,1855,35548,6.84404776640036,0.790279626001472,2022-07-15,2026-05-17
Polish Ekstraklasa,196,50861,1389,1981,35288,6.836961856721833,0.7604021063952198,2022-07-15,2026-05-23
Saudi Pro League,536,47304,1270,1869,31410,6.890392550143266,0.8258195438855495,2022-08-25,2026-05-21
Greek Super League 1,135,40127,1200,1769,27503,6.78171799440061,0.769156683901928,2022-08-19,2026-05-21
Scottish Premiership,64,37765,985,1736,26300,6.835349049429658,0.8064530721011353,2022-07-30,2026-05-17
Swiss Super League,69,35121,916,1365,25397,6.851970311454109,0.8015027625892093,2022-07-16,2026-05-17
Danish Superligaen,46,31909,914,1277,22620,6.881817860300619,0.7802471789550081,2022-07-15,2026-05-21
Swedish Allsvenskan,67,31883,1165,817,22598,6.892134702186034,0.8042185049627976,2022-07-01,2026-05-31
Norwegian Eliteserien,59,31695,1084,813,22541,6.887532939976044,0.8153492593213324,2022-07-02,2026-05-30
Austrian Bundesliga,38,29868,844,1268,22164,6.879603862118751,0.7891482537974339,2022-07-22,2026-05-25
Croatian 1.HNL,252,31381,914,1049,20206,6.801055627041473,0.7718465401797535,2022-07-15,2026-05-23
Turkish 1.Lig,165,21744,845,884,15457,6.8201319790386234,0.8166070560739043,2024-08-10,2026-05-24
Romanian Liga 1,189,15310,615,615,9281,6.818586359228531,0.7670001357894233,2025-03-22,2026-05-29
Serbian Super Liga,182,13206,631,678,8558,6.8115096985276935,0.7760177900400737,2025-03-22,2026-05-24
Czech First League,122,14772,633,862,8291,6.780412495477023,0.7569077933483898,2025-03-15,2026-05-24
Belgian Challenger Pro League,264,11717,609,714,8033,6.8419394995642975,0.7992589152273063,2025-03-22,2026-05-09
Bulgarian Parva Liga,270,2389,301,477,203,6.779310344827586,0.7261491522601254,2025-03-22,2025-05-31
Hungarian Nemzeti Bajnoksag,212,1804,258,379,147,6.599319727891157,0.7664628415551902,2025-03-22,2025-05-31
Ukrainian Premier Liga,441,2500,364,317,120,6.625,0.6876155365103527,2025-03-22,2025-05-31
