season_name,Month,observations,players,matches,positive_rating_observations,mean_rating,sd_rating,mean_minutes
2024/2025,2022-07-01,17024,6114,430,11752,6.862325561606535,0.7539960286813323,69.552243889977
2024/2025,2022-08-01,40656,12047,1016,28475,6.841160667251975,0.7822675282629595,69.26969686325477
2024/2025,2022-09-01,33581,11868,826,23245,6.8386246504624655,0.7553830432254768,69.1049414600551
2024/2025,2022-10-01,54591,12518,1342,37964,6.8302302181013586,0.76791094973173335,69.35725021754608
2024/2025,2022-11-01,22762,10268,560,15697,6.840526215200357,0.7763608556771212,69.9837123147675
2024/2025,2022-12-01,13617,5789,342,9487,6.844302730051649,0.7485477937666686,70.76041776558709
2024/2025,2023-01-01,28584,9697,703,19474,6.857873575023108,0.7788070178248947,70.83568340881021
2024/2025,2023-02-01,35352,10304,874,24517,6.882589631684138,0.7707683826344942,69.95383861883188
2024/2025,2023-03-01,28664,10074,709,19844,6.883425720620843,0.773114433642611,70.13445251058681
2024/2025,2023-04-01,47969,12233,1179,33181,6.878547964196377,0.7872964520835395,69.67638809301204
2024/2025,2023-05-01,41408,11443,1004,28208,6.866078062960862,0.7904801620933228,69.41451733068436
2024/2025,2023-06-01,11427,5583,266,7492,6.897992525360384,0.7590560191838087,69.56459394264272
2024/2025,2023-07-01,14627,4819,344,9670,6.894033092037229,0.7644764978688532,69.41955868641872
2024/2025,2023-08-01,31864,11283,786,22106,6.860536505925993,0.7727559213347465,69.36228669714389
2024/2025,2023-09-01,38616,11583,943,26865,6.846464917178484,0.7759140408341386,68.69751684598488
2024/2025,2023-10-01,37032,11431,903,25665,6.858997857003702,0.7793161083076784,68.97790765634132
2024/2025,2023-11-01,32327,11381,786,22002,6.863628761021726,0.7847142590329954,70.01018089264612
2024/2025,2023-12-01,35991,10516,887,24598,6.862929913001057,0.7790271656644777,70.48077079437353
2024/2025,2024-01-01,23128,8256,570,15756,6.858250825082508,0.7830883611207012,70.97207413048997
2024/2025,2024-02-01,34195,9785,843,23777,6.8240000841149016,0.7762503116038634,69.51282806191116
2024/2025,2024-03-01,31937,9903,788,22127,6.8266904686582,0.7762032016439182,69.83807113481267
2024/2025,2024-04-01,43193,11575,1063,30019,6.821156600819481,0.7775588013007557,69.54612079016623
2024/2025,2024-05-01,36110,11623,872,24792,6.8175298483381725,0.7906802937021697,69.06570667957405
2024/2025,2024-06-01,8725,3221,197,5676,6.811539816772375,0.7276241153343523,68.065362931642
2024/2025,2024-07-01,11627,3925,272,7755,6.819832366215345,0.7396425900115557,68.72882011605415
2024/2025,2024-08-01,37532,12603,910,25947,6.8057644429028405,0.7585571982774052,68.7255370848922
2024/2025,2024-09-01,39465,12518,952,27424,6.817769107351226,0.7755844486987198,68.05812807881773
2024/2025,2024-10-01,37953,12560,918,26196,6.819571690334403,0.7715937798071767,68.6398701546687
2024/2025,2024-11-01,39453,12708,953,26962,6.83198279059417,0.7733974974312086,69.2755511022044
2024/2025,2024-12-01,35649,11420,867,24289,6.8376009716332495,0.7961285531338058,69.90219988465024
2024/2025,2025-01-01,29106,9941,716,19920,6.849934738955824,0.7950705322299579,70.36188178528347
2024/2025,2025-02-01,36432,10635,889,25067,6.837679020225795,0.7865238270562851,69.32233613914708
2024/2025,2025-03-01,41480,13849,1305,27242,6.842999779751854,0.775223171103591,69.51013141472725
2024/2025,2025-04-01,66664,14961,2587,41170,6.841758562059752,0.7866472407128466,69.33707401199932
2024/2025,2025-05-01,56237,14744,2211,33777,6.839760783965419,0.7906671772140419,69.1090979068597
2024/2025,2025-06-01,5050,2458,117,3370,6.819584569732938,0.7733939147308586,68.00445103857567
2024/2025,2025-07-01,4106,2378,96,2800,6.792571428571429,0.7861350970105561,67.42244460328806
2024/2025,2025-08-01,35928,11623,877,25019,6.807066629361685,0.7730514514853375,68.65688785720003
2024/2025,2025-09-01,33554,11464,809,23270,6.817125053717232,0.7698781953601729,68.1175508799105
2024/2025,2025-10-01,34308,11599,828,23679,6.822027957261708,0.7813598912997284,68.56744874233777
2024/2025,2025-11-01,38529,11777,929,26223,6.836250619685009,0.7933933247591183,69.41410246621363
2024/2025,2025-12-01,34143,11553,834,23280,6.84143470790378,0.78881665452322,70.04484613729288
2024/2025,2026-01-01,36707,11890,893,25143,6.838619098755121,0.7869076463645176,69.55219364599093
2024/2025,2026-02-01,47665,13203,1146,32539,6.833363041273548,0.7867545749170625,69.00403089325826
2024/2025,2026-03-01,42457,13667,1019,29047,6.831077219678453,0.781992306235096,68.7010753429379
2024/2025,2026-04-01,52547,14503,1263,35923,6.824090415611168,0.7794992417075841,68.88817971515371
2024/2025,2026-05-01,42395,13899,1006,28905,6.82193046185781,0.791503373746944,68.4846657656721
2024/2025,2026-06-01,2097,657,47,1391,6.808411214953271,0.7490097005380079,66.33501078360891
