historical_batch,file,rows,min_match_date,max_match_date
2023_2024_clean,data/historical/2023_2024_clean/checkpoints/ratings/135_greek-super-league-1_ratings.csv,0,,
2023_2024_clean,data/historical/2023_2024_clean/checkpoints/ratings/140_spanish-laliga-2_ratings.csv,0,,
2023_2024_clean,data/historical/2023_2024_clean/checkpoints/ratings/268_brazilian-serie-a_ratings.csv,0,,
2023_2024_clean,data/historical/2023_2024_clean/checkpoints/ratings/40_belgian-pro-league_ratings.csv,0,,
2023_2024_clean,data/historical/2023_2024_clean/checkpoints/ratings/441_ukrainian-premier-liga_ratings.csv,0,,
2023_2024_clean,data/historical/2023_2024_clean/checkpoints/ratings/47_english-premier-league_ratings.csv,0,,
2023_2024_clean,data/historical/2023_2024_clean/checkpoints/ratings/48_english-championship_ratings.csv,0,,
2023_2024_clean,data/historical/2023_2024_clean/checkpoints/ratings/536_saudi-pro-league_ratings.csv,0,,
2023_2024_clean,data/historical/2023_2024_clean/checkpoints/ratings/53_french-ligue-1_ratings.csv,0,,
2023_2024_clean,data/historical/2023_2024_clean/checkpoints/ratings/54_german-bundesliga_ratings.csv,0,,
2023_2024_clean,data/historical/2023_2024_clean/checkpoints/ratings/55_italian-serie-a_ratings.csv,0,,
2023_2024_clean,data/historical/2023_2024_clean/checkpoints/ratings/57_dutch-eredivisie_ratings.csv,0,,
2023_2024_clean,data/historical/2023_2024_clean/checkpoints/ratings/61_portuguese-primeira-liga_ratings.csv,0,,
2023_2024_clean,data/historical/2023_2024_clean/checkpoints/ratings/71_turkish-super-lig_ratings.csv,0,,
2023_2024_clean,data/historical/2023_2024_clean/checkpoints/ratings/87_spanish-laliga_ratings.csv,0,,
historical_checkpoints,data/historical/checkpoints/ratings/108_english-league-one_ratings.csv,4103,2025-03-22,2025-05-31
historical_checkpoints,data/historical/checkpoints/ratings/110_french-ligue-2_ratings.csv,1774,2025-03-22,2025-05-31
historical_checkpoints,data/historical/checkpoints/ratings/112_argentine-primera-division_ratings.csv,0,,
historical_checkpoints,data/historical/checkpoints/ratings/122_czech-first-league_ratings.csv,2913,2025-03-22,2025-05-31
historical_checkpoints,data/historical/checkpoints/ratings/135_greek-super-league-1_ratings.csv,2244,2025-03-21,2025-05-31
historical_checkpoints,data/historical/checkpoints/ratings/140_spanish-laliga-2_ratings.csv,3559,2025-03-22,2025-05-31
historical_checkpoints,data/historical/checkpoints/ratings/146_german-2-bundesliga_ratings.csv,3159,2025-03-23,2025-05-31
historical_checkpoints,data/historical/checkpoints/ratings/165_turkish-1-lig_ratings.csv,1177,2024-12-18,2025-05-31
historical_checkpoints,data/historical/checkpoints/ratings/182_serbian-super-liga_ratings.csv,437,2025-03-22,2025-05-31
historical_checkpoints,data/historical/checkpoints/ratings/189_romanian-liga-1_ratings.csv,1155,2025-03-22,2025-05-31
historical_checkpoints,data/historical/checkpoints/ratings/196_polish-ekstraklasa_ratings.csv,2990,2025-03-22,2025-05-31
historical_checkpoints,data/historical/checkpoints/ratings/212_hungarian-nemzeti-bajnoksag_ratings.csv,1804,2025-03-22,2025-05-31
historical_checkpoints,data/historical/checkpoints/ratings/252_croatian-1-hnl_ratings.csv,1568,2025-03-22,2025-05-31
historical_checkpoints,data/historical/checkpoints/ratings/264_belgian-challenger-pro-league_ratings.csv,684,2025-03-22,2025-05-31
historical_checkpoints,data/historical/checkpoints/ratings/268_brazilian-serie-a_ratings.csv,0,,
historical_checkpoints,data/historical/checkpoints/ratings/270_bulgarian-parva-liga_ratings.csv,2389,2025-03-22,2025-05-31
historical_checkpoints,data/historical/checkpoints/ratings/38_austrian-bundesliga_ratings.csv,2462,2025-03-22,2025-05-31
historical_checkpoints,data/historical/checkpoints/ratings/40_belgian-pro-league_ratings.csv,2664,2025-03-22,2025-05-31
historical_checkpoints,data/historical/checkpoints/ratings/441_ukrainian-premier-liga_ratings.csv,2500,2025-03-22,2025-05-31
historical_checkpoints,data/historical/checkpoints/ratings/46_danish-superligaen_2024-2025_ratings.csv,400,2024-07-19,2024-07-28
historical_checkpoints,data/historical/checkpoints/ratings/46_danish-superligaen_ratings.csv,2478,2025-03-22,2025-05-31
historical_checkpoints,data/historical/checkpoints/ratings/47_english-premier-league_2022-2023_ratings.csv,15185,2022-08-05,2023-05-28
historical_checkpoints,data/historical/checkpoints/ratings/47_english-premier-league_2023-2024_ratings.csv,15180,2023-08-11,2024-05-19
historical_checkpoints,data/historical/checkpoints/ratings/47_english-premier-league_2024-2025_ratings.csv,15188,2024-08-16,2025-05-25
historical_checkpoints,data/historical/checkpoints/ratings/47_english-premier-league_ratings.csv,4786,2025-03-21,2025-05-31
historical_checkpoints,data/historical/checkpoints/ratings/48_english-championship_ratings.csv,4863,2025-03-22,2025-05-31
historical_checkpoints,data/historical/checkpoints/ratings/536_saudi-pro-league_ratings.csv,3532,2025-03-21,2025-05-31
historical_checkpoints,data/historical/checkpoints/ratings/53_french-ligue-1_2022-2023_ratings.csv,15069,2022-08-05,2023-06-03
historical_checkpoints,data/historical/checkpoints/ratings/53_french-ligue-1_2023-2024_ratings.csv,12265,2023-08-11,2024-05-19
historical_checkpoints,data/historical/checkpoints/ratings/53_french-ligue-1_2024-2025_ratings.csv,12218,2024-08-16,2025-05-17
historical_checkpoints,data/historical/checkpoints/ratings/53_french-ligue-1_ratings.csv,3169,2025-03-22,2025-05-31
historical_checkpoints,data/historical/checkpoints/ratings/54_german-bundesliga_2022-2023_ratings.csv,12169,2022-08-05,2023-05-27
historical_checkpoints,data/historical/checkpoints/ratings/54_german-bundesliga_2023-2024_ratings.csv,12152,2023-08-18,2024-05-18
historical_checkpoints,data/historical/checkpoints/ratings/54_german-bundesliga_2024-2025_ratings.csv,12208,2024-08-23,2025-05-17
historical_checkpoints,data/historical/checkpoints/ratings/54_german-bundesliga_ratings.csv,3428,2025-03-21,2025-05-31
historical_checkpoints,data/historical/checkpoints/ratings/55_italian-serie-a_2022-2023_ratings.csv,17875,2022-08-13,2023-06-11
historical_checkpoints,data/historical/checkpoints/ratings/55_italian-serie-a_2023-2024_ratings.csv,17692,2023-08-19,2024-06-02
historical_checkpoints,data/historical/checkpoints/ratings/55_italian-serie-a_2024-2025_ratings.csv,17689,2024-08-17,2025-05-25
historical_checkpoints,data/historical/checkpoints/ratings/55_italian-serie-a_ratings.csv,4454,2025-03-21,2025-05-31
historical_checkpoints,data/historical/checkpoints/ratings/57_dutch-eredivisie_ratings.csv,3420,2025-03-22,2025-05-31
historical_checkpoints,data/historical/checkpoints/ratings/59_norwegian-eliteserien_ratings.csv,0,,
historical_checkpoints,data/historical/checkpoints/ratings/61_portuguese-primeira-liga_2024-2025_ratings.csv,3350,2024-08-09,2024-11-02
